sensor_id,time,humidity,sv,temperature
S024,2025-05-29 00:43:00,90.4,5.4,21.9
S024,2025-05-29 01:43:00,89.6,5.4,21.7
S024,2025-05-29 02:43:00,87.5,5.6,22.1
S024,2025-05-29 03:43:00,89.2,5.5,21.8
S024,2025-05-29 04:43:00,87.2,5.6,22.4
S024,2025-05-29 05:43:00,88.7,5.4,21.3
S024,2025-05-29 06:43:00,94.7,5.3,22.9
S024,2025-05-29 07:43:00,89.0,5.6,21.6
S024,2025-05-29 08:43:00,87.5,5.4,22.3
S024,2025-05-29 09:43:00,88.0,5.6,22.1
S024,2025-05-29 10:43:00,87.4,5.6,22.7
S024,2025-05-29 11:43:00,90.1,5.3,22.5
S024,2025-05-29 12:43:00,87.7,5.0,22.8
S024,2025-05-29 13:43:00,90.9,5.3,23.3
S024,2025-05-29 14:43:00,86.9,5.0,23.2
S024,2025-05-29 15:43:00,86.8,5.1,22.8
S024,2025-05-29 16:43:00,85.3,5.3,23.1
S024,2025-05-29 17:43:00,86.2,5.1,23.9
S024,2025-05-29 18:43:00,83.3,5.1,23.4
S024,2025-05-29 19:43:00,82.3,5.3,22.9
S024,2025-05-29 20:43:00,87.7,5.4,23.7
S024,2025-05-29 21:43:00,82.7,5.4,23.3
S024,2025-05-29 22:43:00,86.9,5.6,22.7
S024,2025-05-29 23:43:00,84.9,5.7,23.2
S024,2025-05-30 00:43:00,87.6,5.6,22.6
S024,2025-05-30 01:43:00,82.1,5.9,22.2
S024,2025-05-30 02:43:00,86.5,6.1,22.9
S024,2025-05-30 03:43:00,85.8,5.8,23.5
S024,2025-05-30 04:43:00,85.7,6.0,23.6
S024,2025-05-30 05:43:00,87.0,6.0,22.8
S024,2025-05-30 06:43:00,84.8,6.0,22.4
S024,2025-05-30 07:43:00,79.5,6.1,24.4
S024,2025-05-30 08:43:00,85.1,6.1,23.7
S024,2025-05-30 09:43:00,84.7,6.5,24.5
S024,2025-05-30 10:43:00,83.4,6.3,24.5
S024,2025-05-30 11:43:00,82.0,6.4,24.2
S024,2025-05-30 12:43:00,82.8,6.6,23.9
S024,2025-05-30 13:43:00,86.3,6.7,23.7
S024,2025-05-30 14:43:00,81.3,6.8,24.3
S024,2025-05-30 15:43:00,79.5,6.8,23.9
S024,2025-05-30 16:43:00,79.9,6.7,23.7
S024,2025-05-30 17:43:00,82.6,6.7,23.0
S024,2025-05-30 18:43:00,85.8,7.0,24.1
S024,2025-05-30 19:43:00,86.7,7.0,24.7
S024,2025-05-30 20:43:00,83.4,7.5,24.8
S024,2025-05-30 21:43:00,80.0,7.8,24.3
S024,2025-05-30 22:43:00,80.0,7.3,23.8
S024,2025-05-30 23:43:00,83.3,7.6,24.8
S024,2025-05-31 00:43:00,84.0,7.7,24.3
S024,2025-05-31 01:43:00,79.9,7.5,24.2
S024,2025-05-31 02:43:00,83.9,7.9,23.7
S024,2025-05-31 03:43:00,80.4,7.9,25.5
S024,2025-05-31 04:43:00,82.1,7.9,24.8
S024,2025-05-31 05:43:00,82.8,8.1,24.9
S024,2025-05-31 06:43:00,77.3,8.4,24.1
S024,2025-05-31 07:43:00,81.0,8.5,24.6
S024,2025-05-31 08:43:00,82.8,8.6,24.6
S024,2025-05-31 09:43:00,78.6,8.6,25.0
S024,2025-05-31 10:43:00,77.5,8.9,25.3
S024,2025-05-31 11:43:00,80.4,9.0,24.0
S024,2025-05-31 12:43:00,79.5,9.1,24.2
S024,2025-05-31 13:43:00,78.4,9.1,25.0
S024,2025-05-31 14:43:00,78.9,9.4,24.5
S024,2025-05-31 15:43:00,75.3,9.5,25.2
S024,2025-05-31 16:43:00,79.3,9.8,24.6
S024,2025-05-31 17:43:00,81.5,9.8,24.2
S024,2025-05-31 18:43:00,76.7,10.0,24.0
S024,2025-05-31 19:43:00,76.3,10.2,25.1
S024,2025-05-31 20:43:00,78.1,10.1,25.1
S024,2025-05-31 21:43:00,83.3,10.2,25.4
S024,2025-05-31 22:43:00,79.6,9.8,25.1
S024,2025-05-31 23:43:00,77.1,9.8,23.0
S024,2025-06-01 00:43:00,77.1,9.6,25.2
S024,2025-06-01 01:43:00,79.3,10.1,24.2
S024,2025-06-01 02:43:00,74.9,9.9,24.0
S024,2025-06-01 03:43:00,77.8,10.5,24.0
S024,2025-06-01 04:43:00,74.1,10.7,23.9
S024,2025-06-01 05:43:00,78.0,10.7,25.1
S024,2025-06-01 06:43:00,75.4,10.9,24.6
S024,2025-06-01 07:43:00,76.2,10.9,24.2
S024,2025-06-01 08:43:00,74.9,10.7,25.0
S024,2025-06-01 09:43:00,76.8,10.8,24.4
S024,2025-06-01 10:43:00,74.9,11.1,25.5
S024,2025-06-01 11:43:00,79.4,11.4,25.7
S024,2025-06-01 12:43:00,77.7,11.6,24.9
S024,2025-06-01 13:43:00,72.1,11.6,25.7
S024,2025-06-01 14:43:00,74.9,12.0,25.7
S024,2025-06-01 15:43:00,75.8,12.3,25.0
S024,2025-06-01 16:43:00,73.3,12.5,25.9
S024,2025-06-01 17:43:00,76.4,12.8,24.7
S024,2025-06-01 18:43:00,76.0,13.4,24.0
S024,2025-06-01 19:43:00,73.5,13.4,24.2
S024,2025-06-01 20:43:00,75.4,13.3,24.6
S024,2025-06-01 21:43:00,68.5,13.3,25.2
S024,2025-06-01 22:43:00,75.8,13.1,24.4
S024,2025-06-01 23:43:00,74.7,13.3,24.6
S024,2025-06-02 00:43:00,70.6,13.1,24.3
S024,2025-06-02 01:43:00,73.1,13.4,24.6
S024,2025-06-02 02:43:00,68.3,13.4,25.6
S024,2025-06-02 03:43:00,70.7,13.8,25.1
S024,2025-06-02 04:43:00,74.2,13.4,24.6
S024,2025-06-02 05:43:00,71.8,13.4,25.5
S024,2025-06-02 06:43:00,71.5,13.2,24.8
S024,2025-06-02 07:43:00,71.6,13.6,24.9
S024,2025-06-02 08:43:00,71.2,14.0,25.4
S024,2025-06-02 09:43:00,73.1,13.7,24.6
S024,2025-06-02 10:43:00,69.7,13.9,25.2
S024,2025-06-02 11:43:00,71.6,14.3,25.1
S024,2025-06-02 12:43:00,68.3,14.4,24.6
S024,2025-06-02 13:43:00,71.9,14.6,24.0
S024,2025-06-02 14:43:00,69.6,14.8,24.7
S024,2025-06-02 15:43:00,70.0,15.1,25.2
S024,2025-06-02 16:43:00,69.2,15.0,25.0
S024,2025-06-02 17:43:00,69.2,15.3,25.4
S024,2025-06-02 18:43:00,67.5,15.5,24.3
S024,2025-06-02 19:43:00,70.0,15.6,24.9
S024,2025-06-02 20:43:00,70.3,15.8,24.0
S024,2025-06-02 21:43:00,66.3,15.7,24.5
S024,2025-06-02 22:43:00,67.6,15.5,25.0
S024,2025-06-02 23:43:00,68.7,15.5,24.8
S024,2025-06-03 00:43:00,67.2,15.9,24.4
S024,2025-06-03 01:43:00,67.8,15.8,24.2
