sensor_id,time,humidity,sv,temperature
S009,2025-05-29 00:08:00,89.2,5.1,22.6
S009,2025-05-29 01:08:00,88.4,5.4,21.6
S009,2025-05-29 02:08:00,89.3,5.6,22.1
S009,2025-05-29 03:08:00,92.5,6.1,21.9
S009,2025-05-29 04:08:00,88.1,5.9,22.5
S009,2025-05-29 05:08:00,88.1,5.9,22.2
S009,2025-05-29 06:08:00,89.8,6.0,22.4
S009,2025-05-29 07:08:00,88.4,5.9,22.3
S009,2025-05-29 08:08:00,85.9,5.7,22.4
S009,2025-05-29 09:08:00,88.3,5.7,23.4
S009,2025-05-29 10:08:00,88.0,5.6,23.8
S009,2025-05-29 11:08:00,90.0,5.6,22.8
S009,2025-05-29 12:08:00,85.9,5.6,22.6
S009,2025-05-29 13:08:00,89.6,5.8,21.9
S009,2025-05-29 14:08:00,87.3,6.0,22.4
S009,2025-05-29 15:08:00,85.1,6.2,22.8
S009,2025-05-29 16:08:00,84.5,6.2,22.5
S009,2025-05-29 17:08:00,90.8,6.4,22.6
S009,2025-05-29 18:08:00,86.4,6.7,23.8
S009,2025-05-29 19:08:00,88.5,6.9,23.1
S009,2025-05-29 20:08:00,83.0,7.4,23.2
S009,2025-05-29 21:08:00,91.5,7.7,22.8
S009,2025-05-29 22:08:00,87.8,8.1,23.8
S009,2025-05-29 23:08:00,85.4,7.7,23.1
S009,2025-05-30 00:08:00,85.1,7.8,23.0
S009,2025-05-30 01:08:00,87.0,7.9,22.6
S009,2025-05-30 02:08:00,86.7,7.9,23.4
S009,2025-05-30 03:08:00,85.5,7.9,23.2
S009,2025-05-30 04:08:00,85.0,8.1,24.3
S009,2025-05-30 05:08:00,85.9,7.8,24.5
S009,2025-05-30 06:08:00,81.1,8.0,23.0
S009,2025-05-30 07:08:00,83.7,7.9,23.1
S009,2025-05-30 08:08:00,81.0,7.9,23.6
S009,2025-05-30 09:08:00,85.3,8.1,23.3
S009,2025-05-30 10:08:00,82.5,8.2,23.9
S009,2025-05-30 11:08:00,80.6,8.5,23.7
S009,2025-05-30 12:08:00,81.9,8.4,24.0
S009,2025-05-30 13:08:00,83.7,8.5,24.4
S009,2025-05-30 14:08:00,82.8,8.8,23.4
S009,2025-05-30 15:08:00,80.6,9.0,24.5
S009,2025-05-30 16:08:00,79.4,9.2,23.7
S009,2025-05-30 17:08:00,82.8,9.5,25.2
S009,2025-05-30 18:08:00,81.3,9.5,24.9
S009,2025-05-30 19:08:00,81.8,9.5,24.1
S009,2025-05-30 20:08:00,81.8,9.7,23.7
S009,2025-05-30 21:08:00,82.8,9.8,23.7
S009,2025-05-30 22:08:00,83.4,10.1,24.7
S009,2025-05-30 23:08:00,81.8,10.3,24.3
S009,2025-05-31 00:08:00,80.7,10.2,24.8
S009,2025-05-31 01:08:00,81.2,10.4,25.5
S009,2025-05-31 02:08:00,80.3,10.3,24.0
S009,2025-05-31 03:08:00,77.6,10.6,23.8
S009,2025-05-31 04:08:00,82.8,10.4,24.6
S009,2025-05-31 05:08:00,82.3,10.8,25.1
S009,2025-05-31 06:08:00,84.3,10.9,24.1
S009,2025-05-31 07:08:00,84.7,11.0,24.6
S009,2025-05-31 08:08:00,77.6,11.3,25.3
S009,2025-05-31 09:08:00,79.1,11.5,23.8
S009,2025-05-31 10:08:00,84.6,11.8,24.8
S009,2025-05-31 11:08:00,79.3,12.2,24.4
S009,2025-05-31 12:08:00,79.7,12.4,24.8
S009,2025-05-31 13:08:00,76.0,12.3,25.1
S009,2025-05-31 14:08:00,79.2,12.3,24.9
S009,2025-05-31 15:08:00,82.5,12.4,24.3
S009,2025-05-31 16:08:00,81.1,12.7,24.5
S009,2025-05-31 17:08:00,77.1,12.7,25.5
S009,2025-05-31 18:08:00,77.4,12.7,25.0
S009,2025-05-31 19:08:00,75.7,13.2,25.3
S009,2025-05-31 20:08:00,76.1,13.3,25.0
S009,2025-05-31 21:08:00,73.8,13.2,25.3
S009,2025-05-31 22:08:00,77.3,13.5,24.7
S009,2025-05-31 23:08:00,80.3,13.6,24.5
S009,2025-06-01 00:08:00,77.8,13.4,25.3
S009,2025-06-01 01:08:00,79.6,13.7,25.5
S009,2025-06-01 02:08:00,78.9,13.7,24.5
S009,2025-06-01 03:08:00,75.4,13.8,24.7
S009,2025-06-01 04:08:00,74.8,13.9,24.9
S009,2025-06-01 05:08:00,74.7,14.0,25.8
S009,2025-06-01 06:08:00,72.6,13.7,25.3
S009,2025-06-01 07:08:00,75.9,13.7,24.3
S009,2025-06-01 08:08:00,69.8,14.0,24.9
S009,2025-06-01 09:08:00,76.6,14.4,24.9
S009,2025-06-01 10:08:00,75.4,14.3,24.4
S009,2025-06-01 11:08:00,76.0,14.6,24.9
S009,2025-06-01 12:08:00,77.0,14.5,24.9
S009,2025-06-01 13:08:00,75.1,14.5,24.8
