sensor_id,time,humidity,sv,temperature
S020,2025-05-29 00:37:00,91.2,5.1,22.6
S020,2025-05-29 01:37:00,88.7,5.2,21.7
S020,2025-05-29 02:37:00,88.6,5.3,21.7
S020,2025-05-29 03:37:00,90.3,5.3,22.3
S020,2025-05-29 04:37:00,92.3,5.3,22.4
S020,2025-05-29 05:37:00,88.7,5.4,22.8
S020,2025-05-29 06:37:00,91.3,5.0,22.4
S020,2025-05-29 07:37:00,85.9,5.3,22.5
S020,2025-05-29 08:37:00,88.8,5.4,22.4
S020,2025-05-29 09:37:00,87.3,5.6,21.9
S020,2025-05-29 10:37:00,88.8,5.6,22.5
S020,2025-05-29 11:37:00,87.4,5.8,22.6
S020,2025-05-29 12:37:00,85.2,5.7,22.4
S020,2025-05-29 13:37:00,85.9,5.7,21.9
S020,2025-05-29 14:37:00,84.2,5.9,22.2
S020,2025-05-29 15:37:00,84.7,6.1,22.8
S020,2025-05-29 16:37:00,88.1,5.9,23.4
S020,2025-05-29 17:37:00,86.4,6.4,23.8
S020,2025-05-29 18:37:00,87.2,6.3,22.9
S020,2025-05-29 19:37:00,90.2,6.4,22.7
S020,2025-05-29 20:37:00,85.8,6.8,22.9
S020,2025-05-29 21:37:00,87.5,6.5,22.6
S020,2025-05-29 22:37:00,86.1,6.3,23.6
S020,2025-05-29 23:37:00,91.4,6.5,24.3
S020,2025-05-30 00:37:00,79.7,6.1,23.0
S020,2025-05-30 01:37:00,84.1,5.8,22.8
S020,2025-05-30 02:37:00,86.6,6.1,23.9
S020,2025-05-30 03:37:00,83.6,6.1,23.6
S020,2025-05-30 04:37:00,86.1,6.6,23.7
S020,2025-05-30 05:37:00,84.7,6.5,24.3
S020,2025-05-30 06:37:00,86.3,6.6,22.9
S020,2025-05-30 07:37:00,82.2,6.8,22.9
S020,2025-05-30 08:37:00,84.6,7.0,23.6
S020,2025-05-30 09:37:00,85.0,7.0,23.8
S020,2025-05-30 10:37:00,84.2,7.0,23.6
S020,2025-05-30 11:37:00,84.0,7.1,25.1
S020,2025-05-30 12:37:00,85.9,7.5,23.7
S020,2025-05-30 13:37:00,80.0,7.8,23.6
S020,2025-05-30 14:37:00,83.4,7.7,24.0
S020,2025-05-30 15:37:00,80.6,7.7,24.5
S020,2025-05-30 16:37:00,84.3,7.6,23.7
S020,2025-05-30 17:37:00,81.0,7.5,24.0
S020,2025-05-30 18:37:00,77.5,7.6,24.6
S020,2025-05-30 19:37:00,83.8,7.8,24.7
S020,2025-05-30 20:37:00,81.6,7.9,24.3
S020,2025-05-30 21:37:00,82.6,8.4,25.4
S020,2025-05-30 22:37:00,84.6,8.8,25.3
S020,2025-05-30 23:37:00,82.3,9.0,23.6
S020,2025-05-31 00:37:00,81.7,9.2,23.5
S020,2025-05-31 01:37:00,81.1,9.2,24.8
S020,2025-05-31 02:37:00,78.7,9.2,25.1
S020,2025-05-31 03:37:00,80.4,9.5,24.3
S020,2025-05-31 04:37:00,84.6,9.5,24.2
S020,2025-05-31 05:37:00,79.7,9.9,24.1
S020,2025-05-31 06:37:00,80.0,10.2,24.0
S020,2025-05-31 07:37:00,82.6,10.5,25.1
S020,2025-05-31 08:37:00,76.9,10.4,24.4
S020,2025-05-31 09:37:00,81.0,10.4,24.8
S020,2025-05-31 10:37:00,76.4,10.6,23.7
S020,2025-05-31 11:37:00,80.2,10.5,25.2
S020,2025-05-31 12:37:00,79.2,10.6,25.0
S020,2025-05-31 13:37:00,80.3,10.8,24.1
S020,2025-05-31 14:37:00,76.8,10.8,24.9
S020,2025-05-31 15:37:00,77.6,10.8,24.8
S020,2025-05-31 16:37:00,79.8,10.5,24.6
S020,2025-05-31 17:37:00,77.3,10.5,23.4
S020,2025-05-31 18:37:00,79.7,10.8,24.5
S020,2025-05-31 19:37:00,78.4,10.7,25.0
S020,2025-05-31 20:37:00,76.9,10.8,24.6
S020,2025-05-31 21:37:00,77.0,10.9,24.8
S020,2025-05-31 22:37:00,77.4,10.8,25.6
S020,2025-05-31 23:37:00,76.8,11.1,24.9
S020,2025-06-01 00:37:00,78.5,11.5,23.9
S020,2025-06-01 01:37:00,76.1,11.8,24.8
S020,2025-06-01 02:37:00,75.6,11.8,25.0
S020,2025-06-01 03:37:00,78.3,12.3,24.5
S020,2025-06-01 04:37:00,75.5,12.6,25.3
S020,2025-06-01 05:37:00,75.1,12.6,24.2
S020,2025-06-01 06:37:00,71.0,12.5,24.9
S020,2025-06-01 07:37:00,73.7,12.9,24.3
S020,2025-06-01 08:37:00,74.0,13.0,24.8
S020,2025-06-01 09:37:00,74.4,12.9,25.3
S020,2025-06-01 10:37:00,73.8,13.0,24.9
S020,2025-06-01 11:37:00,77.1,13.0,24.9
S020,2025-06-01 12:37:00,73.4,12.9,25.0
S020,2025-06-01 13:37:00,73.3,13.3,25.0
S020,2025-06-01 14:37:00,74.9,13.5,25.3
S020,2025-06-01 15:37:00,72.2,13.8,25.3
S020,2025-06-01 16:37:00,77.3,14.0,25.7
S020,2025-06-01 17:37:00,75.6,14.0,25.1
S020,2025-06-01 18:37:00,71.5,13.9,24.2
S020,2025-06-01 19:37:00,75.7,14.3,25.4
S020,2025-06-01 20:37:00,75.9,14.4,25.6
S020,2025-06-01 21:37:00,71.0,14.3,26.2
S020,2025-06-01 22:37:00,70.8,14.4,25.7
S020,2025-06-01 23:37:00,71.7,14.6,24.7
S020,2025-06-02 00:37:00,69.9,14.8,25.0
S020,2025-06-02 01:37:00,71.0,14.7,24.8
S020,2025-06-02 02:37:00,71.6,15.2,24.7
S020,2025-06-02 03:37:00,73.2,15.0,24.8
S020,2025-06-02 04:37:00,72.2,15.1,25.5
S020,2025-06-02 05:37:00,71.6,15.6,24.1
S020,2025-06-02 06:37:00,70.7,15.8,24.3
S020,2025-06-02 07:37:00,68.9,16.1,25.4
S020,2025-06-02 08:37:00,72.5,16.0,25.5
S020,2025-06-02 09:37:00,72.3,16.1,24.4
S020,2025-06-02 10:37:00,69.7,16.2,25.6
S020,2025-06-02 11:37:00,68.6,16.1,25.2
S020,2025-06-02 12:37:00,73.7,16.4,24.6
S020,2025-06-02 13:37:00,70.9,16.3,23.5
S020,2025-06-02 14:37:00,71.0,16.3,23.8
S020,2025-06-02 15:37:00,70.9,16.5,24.3
S020,2025-06-02 16:37:00,67.5,16.5,25.0
S020,2025-06-02 17:37:00,72.7,16.7,25.0
S020,2025-06-02 18:37:00,68.7,16.7,24.3
S020,2025-06-02 19:37:00,71.0,17.1,24.4
S020,2025-06-02 20:37:00,72.1,17.0,24.5
S020,2025-06-02 21:37:00,69.1,17.0,24.3
S020,2025-06-02 22:37:00,66.4,17.2,24.5
S020,2025-06-02 23:37:00,63.6,17.1,24.4
S020,2025-06-03 00:37:00,68.4,17.0,23.5
S020,2025-06-03 01:37:00,68.8,17.1,24.2
S020,2025-06-03 02:37:00,66.9,17.4,24.3
S020,2025-06-03 03:37:00,68.2,17.7,24.7
S020,2025-06-03 04:37:00,68.6,17.8,23.8
S020,2025-06-03 05:37:00,69.5,17.8,24.3
S020,2025-06-03 06:37:00,66.9,18.0,24.4
S020,2025-06-03 07:37:00,67.1,18.2,24.0
S020,2025-06-03 08:37:00,66.6,18.3,23.2
S020,2025-06-03 09:37:00,66.9,18.7,24.5
S020,2025-06-03 10:37:00,65.6,18.6,24.3
S020,2025-06-03 11:37:00,65.4,18.5,24.0
S020,2025-06-03 12:37:00,65.4,18.8,23.9
S020,2025-06-03 13:37:00,66.4,18.7,22.9
S020,2025-06-03 14:37:00,64.2,18.6,24.2
S020,2025-06-03 15:37:00,64.8,18.6,24.5
S020,2025-06-03 16:37:00,69.2,18.4,23.1
S020,2025-06-03 17:37:00,67.2,18.5,24.3
S020,2025-06-03 18:37:00,63.3,18.7,24.2
S020,2025-06-03 19:37:00,66.8,18.8,23.0
S020,2025-06-03 20:37:00,66.1,19.1,23.3
S020,2025-06-03 21:37:00,64.5,19.4,22.8
S020,2025-06-03 22:37:00,63.1,19.5,23.4
