sensor_id,time,humidity,sv,temperature
S013,2025-05-29 00:05:00,86.6,5.3,22.4
S013,2025-05-29 01:05:00,89.7,5.2,21.4
S013,2025-05-29 02:05:00,90.0,5.2,22.5
S013,2025-05-29 03:05:00,91.4,5.2,22.4
S013,2025-05-29 04:05:00,87.8,5.0,22.8
S013,2025-05-29 05:05:00,87.4,5.1,21.9
S013,2025-05-29 06:05:00,88.0,5.0,22.8
S013,2025-05-29 07:05:00,91.3,5.1,22.5
S013,2025-05-29 08:05:00,90.7,5.0,23.3
S013,2025-05-29 09:05:00,88.3,5.3,23.9
S013,2025-05-29 10:05:00,90.2,5.5,23.3
S013,2025-05-29 11:05:00,83.3,5.5,22.9
S013,2025-05-29 12:05:00,89.4,5.6,23.8
S013,2025-05-29 13:05:00,85.4,5.8,23.0
S013,2025-05-29 14:05:00,91.0,6.2,22.3
S013,2025-05-29 15:05:00,85.2,6.1,22.8
S013,2025-05-29 16:05:00,85.4,6.1,23.3
S013,2025-05-29 17:05:00,88.1,6.1,23.4
S013,2025-05-29 18:05:00,88.1,6.2,22.4
S013,2025-05-29 19:05:00,85.7,6.4,22.5
S013,2025-05-29 20:05:00,87.1,6.4,22.9
S013,2025-05-29 21:05:00,87.2,6.4,23.4
S013,2025-05-29 22:05:00,86.8,6.7,23.5
S013,2025-05-29 23:05:00,85.1,7.1,23.3
S013,2025-05-30 00:05:00,86.7,7.3,22.9
S013,2025-05-30 01:05:00,88.3,7.3,24.2
S013,2025-05-30 02:05:00,82.9,7.4,22.9
S013,2025-05-30 03:05:00,83.5,7.6,24.1
S013,2025-05-30 04:05:00,85.0,7.7,23.9
S013,2025-05-30 05:05:00,82.7,7.5,24.2
S013,2025-05-30 06:05:00,81.0,7.7,23.4
S013,2025-05-30 07:05:00,86.6,7.7,23.6
S013,2025-05-30 08:05:00,79.8,7.5,23.7
S013,2025-05-30 09:05:00,83.3,7.2,23.5
S013,2025-05-30 10:05:00,85.4,7.3,23.9
S013,2025-05-30 11:05:00,84.2,7.2,24.6
S013,2025-05-30 12:05:00,82.8,6.8,23.2
S013,2025-05-30 13:05:00,81.2,6.9,23.6
S013,2025-05-30 14:05:00,83.9,6.9,23.6
S013,2025-05-30 15:05:00,81.0,6.9,24.0
S013,2025-05-30 16:05:00,83.3,6.9,24.0
S013,2025-05-30 17:05:00,82.9,7.4,24.5
S013,2025-05-30 18:05:00,82.8,7.6,24.1
S013,2025-05-30 19:05:00,81.0,7.6,24.3
S013,2025-05-30 20:05:00,86.2,7.7,24.4
S013,2025-05-30 21:05:00,82.6,8.0,24.4
S013,2025-05-30 22:05:00,81.2,8.3,24.6
S013,2025-05-30 23:05:00,82.1,8.2,24.2
S013,2025-05-31 00:05:00,79.8,8.1,25.2
S013,2025-05-31 01:05:00,80.4,8.0,25.7
S013,2025-05-31 02:05:00,85.8,8.0,24.8
S013,2025-05-31 03:05:00,79.3,8.0,24.6
S013,2025-05-31 04:05:00,80.5,8.1,24.8
S013,2025-05-31 05:05:00,79.6,8.4,24.0
S013,2025-05-31 06:05:00,78.2,8.6,24.6
S013,2025-05-31 07:05:00,81.0,8.7,24.2
S013,2025-05-31 08:05:00,80.0,8.4,24.9
S013,2025-05-31 09:05:00,81.6,8.3,24.3
S013,2025-05-31 10:05:00,81.2,8.3,24.5
S013,2025-05-31 11:05:00,81.2,8.2,23.7
S013,2025-05-31 12:05:00,77.4,8.5,24.1
S013,2025-05-31 13:05:00,80.3,8.4,24.9
S013,2025-05-31 14:05:00,80.2,8.6,24.3
S013,2025-05-31 15:05:00,76.6,8.4,25.3
S013,2025-05-31 16:05:00,77.9,8.6,24.3
S013,2025-05-31 17:05:00,75.4,8.7,25.0
S013,2025-05-31 18:05:00,79.5,9.1,24.5
S013,2025-05-31 19:05:00,79.3,8.9,25.0
S013,2025-05-31 20:05:00,80.6,8.9,24.1
S013,2025-05-31 21:05:00,77.1,9.0,24.7
S013,2025-05-31 22:05:00,78.3,9.0,24.5
S013,2025-05-31 23:05:00,79.2,9.1,25.4
S013,2025-06-01 00:05:00,75.6,9.1,25.2
S013,2025-06-01 01:05:00,75.1,9.1,24.3
S013,2025-06-01 02:05:00,75.3,8.8,24.8
S013,2025-06-01 03:05:00,75.8,9.1,24.6
S013,2025-06-01 04:05:00,74.6,9.8,25.4
S013,2025-06-01 05:05:00,74.8,9.9,25.6
S013,2025-06-01 06:05:00,77.7,9.8,24.3
S013,2025-06-01 07:05:00,75.6,9.7,25.4
S013,2025-06-01 08:05:00,76.2,9.9,24.6
S013,2025-06-01 09:05:00,74.3,10.1,24.9
S013,2025-06-01 10:05:00,74.0,10.1,25.0
S013,2025-06-01 11:05:00,75.7,10.4,25.9
